instancia,algoritmo1,algoritmo2,puro_mejor,puro_media,puro_std,puro_mediana,puro_genmax,puro_tiempo_s,deap_mejor,deap_media,deap_std,deap_mediana,deap_genmax,deap_tiempo_s,mejora_makespan_pct,mejora_mejor_pct,mejora_genmax_pct,mejora_tiempo_pct,p_wilcoxon,p_mannwhitney,significativo,mejor_algoritmo
swv06,puro,deap,2053.0,2075.1666666666665,11.868960452466856,2077.0,242.76666666666668,1777.81,2376.0,2641.7,95.15116044133846,2658.5,453.1333333333333,1685.69,-27.300618424222954,-15.73307355090112,-86.65385143484826,5.181656082483499,1.7333066441991056e-06,2.978472128053608e-11,True,puro
swv08,puro,deap,2153.0,2174.9666666666667,9.894386736371734,2176.5,234.73333333333332,1792.51,2466.0,2691.1666666666665,96.62231741281215,2718.5,455.93333333333334,1664.56,-23.733697068154292,-14.537854156990246,-94.23459244532805,7.138035492131148,1.7278603148724103e-06,2.999100614022856e-11,True,puro
swv07,puro,deap,1934.0,1973.9333333333334,16.31141386337255,1973.5,260.8333333333333,1772.59,2367.0,2515.6,88.95039816287127,2512.0,444.96666666666664,1661.19,-27.440980782870067,-22.388831437435368,-70.59424920127796,6.284589216908584,1.7300371292901245e-06,3.004749140670014e-11,True,puro
