instance,makespan,best_sequence,generations
100X5-10.txt,11.0,"[4, 2, 3, 0, 1]",6
converted_swv06.txt,100.0,"[6, 0, 2, 7, 14, 13, 12, 9, 1, 8, 10, 3, 11, 5, 4]",6
converted_swv07.txt,96.0,"[1, 8, 11, 5, 10, 12, 13, 6, 14, 2, 0, 4, 9, 3, 7]",6
converted_swv08.txt,160.0,"[12, 9, 0, 2, 6, 1, 13, 7, 8, 4, 3, 10, 11, 5, 14]",6
converted_swv09.txt,94.0,"[2, 0, 10, 1, 5, 11, 4, 8, 9, 14, 13, 3, 7, 6, 12]",6
converted_swv10.txt,98.0,"[7, 6, 2, 13, 14, 9, 10, 5, 0, 8, 1, 4, 11, 12, 3]",6
converted_swv11.txt,100.0,"[4, 1, 3, 6, 2, 9, 7, 8, 5, 0]",6
converted_swv12.txt,86.0,"[0, 4, 3, 1, 6, 5, 2, 9, 7, 8]",6
converted_swv15.txt,135.0,"[1, 2, 0, 9, 6, 4, 5, 8, 7, 3]",6
